Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt ;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202001;Enexis;Drenthe;De Wolden;;;265;39;184
202001;Enexis;Drenthe;Emmen;;;663;101;860
202001;Enexis;Drenthe;Hoogeveen;;;220;57;291
202001;Enexis;Drenthe;Meppel;;;1.319;225;1.383
202001;Enexis;Drenthe;Midden-Drenthe;;;514;88;581
202001;Enexis;Drenthe;Noordenveld;;;364;75;483
202001;Enexis;Drenthe;Tynaarlo;;;494;80;566
202001;Enexis;Drenthe;Westerveld;;;718;102;885
202001;Enexis;Groningen;Appingedam;;;31;22;34
202001;Enexis;Groningen;Delfzijl;;;154;25;114
202001;Enexis;Groningen;Groningen;Verspreide huizen in het Westen;;411;278;1.160
202001;Enexis;Groningen;Groningen;;;4.010;731;3.290
202001;Enexis;Groningen;Het Hogeland;t Lage van de Weg;;77;28;96
202001;Enexis;Groningen;Het Hogeland;;;575;70;238
202001;Enexis;Groningen;Loppersum;;;60;15;149
202001;Enexis;Groningen;Midden-Groningen;;;626;84;304
202001;Enexis;Groningen;Oldambt;;;934;134;741
202001;Enexis;Groningen;Stadskanaal;;;642;13;71
202001;Enexis;Groningen;Westerkwartier;;;629;301;1.406
202001;Enexis;Groningen;Westerwolde;;;899;105;731
202001;Enexis;Limburg;Beek;;;33;26;93
202001;Enexis;Limburg;Beekdaelen;;;117;11;226
202001;Enexis;Limburg;Beesel;;;116;35;160
202001;Enexis;Limburg;Bergen (L);Afferden Buitengebied;;174;25;215
202001;Enexis;Limburg;Brunssum;;;1.337;53;289
202001;Enexis;Limburg;Echt-Susteren;;;440;84;614
202001;Enexis;Limburg;Eijsden-Margraten;;;290;54;436
202001;Enexis;Limburg;Gulpen-Wittem;;;149;32;127
202001;Enexis;Limburg;Heerlen;;;1.294;31;251
202001;Enexis;Limburg;Horst aan de Maas;;;198;56;273
202001;Enexis;Limburg;Kerkrade;;;42;27;79
202001;Enexis;Limburg;Landgraaf;;;184;40;202
202001;Enexis;Limburg;Maasgouw;;;176;70;390
202001;Enexis;Limburg;Maastricht;;;4.345;39;242
202001;Enexis;Limburg;Meerssen;;;239;76;264
202001;Enexis;Limburg;Nederweert;;;103;34;165
202001;Enexis;Limburg;Peel en Maas;;;288;102;550
202001;Enexis;Limburg;Roerdalen;;;738;84;581
202001;Enexis;Limburg;Roermond;;;702;255;1.054
202001;Enexis;Limburg;Sittard-Geleen;;;789;76;463
202001;Enexis;Limburg;Vaals;;;276;52;211
202001;Enexis;Limburg;Valkenburg aan de Geul;;;278;42;431
202001;Enexis;Limburg;Venlo;t Zand;;1.190;321;537
202001;Enexis;Limburg;Venlo;;;3.596;187;1.126
202001;Enexis;Limburg;Venray;;;109;64;296
202001;Enexis;Limburg;Voerendaal;;;86;13;62
202001;Enexis;Limburg;Weert;;;355;84;1.006
202001;Enexis;Limburg;;;;161;26;161
202001;Enexis;Noord-Brabant;Alphen-Chaam;;;107;10;94
202001;Enexis;Noord-Brabant;Altena;Rijswijk;;683;85;248
202001;Enexis;Noord-Brabant;Altena;;;1.395;171;1.182
202001;Enexis;Noord-Brabant;Baarle-Nassau;;;94;11;43
202001;Enexis;Noord-Brabant;Bergeijk;Verspreide huizen;;245;40;470
202001;Enexis;Noord-Brabant;Bergeijk;;;57;35;174
202001;Enexis;Noord-Brabant;Bergen op Zoom;;;437;149;639
202001;Enexis;Noord-Brabant;Bernheze;;;448;120;443
202001;Enexis;Noord-Brabant;Best;;;617;143;739
202001;Enexis;Noord-Brabant;Bladel;;;259;87;311
202001;Enexis;Noord-Brabant;Boekel;;;52;14;84
202001;Enexis;Noord-Brabant;Boxmeer;;;196;34;215
202001;Enexis;Noord-Brabant;Boxtel;;;349;48;485
202001;Enexis;Noord-Brabant;Breda;;;4.366;144;621
202001;Enexis;Noord-Brabant;Cranendonck;;;99;11;114
202001;Enexis;Noord-Brabant;Cuijk;;;270;44;334
202001;Enexis;Noord-Brabant;Deurne;;;74;40;84
202001;Enexis;Noord-Brabant;Dongen;;;411;92;492
202001;Enexis;Noord-Brabant;Drimmelen;;;189;24;162
202001;Enexis;Noord-Brabant;Eersel;;;375;106;493
202001;Enexis;Noord-Brabant;Eindhoven;Groenewoud;;1.890;218;568
202001;Enexis;Noord-Brabant;Eindhoven;Schrijversbuurt;;1.559;152;537
202001;Enexis;Noord-Brabant;Eindhoven;Waterrijk;;642;230;814
202001;Enexis;Noord-Brabant;Eindhoven;;;7.101;469;1.930
202001;Enexis;Noord-Brabant;Etten-Leur;;;1.117;49;399
202001;Enexis;Noord-Brabant;Geertruidenberg;;;343;15;131
202001;Enexis;Noord-Brabant;Geldrop-Mierlo;;;113;49;165
202001;Enexis;Noord-Brabant;Gemert-Bakel;;;262;65;422
202001;Enexis;Noord-Brabant;Goirle;;;260;45;185
202001;Enexis;Noord-Brabant;Grave;Buitengebied-Oost;;64;21;176
202001;Enexis;Noord-Brabant;Grave;;;338;38;199
202001;Enexis;Noord-Brabant;Haaren;;;39;32;136
202001;Enexis;Noord-Brabant;Halderberge;;;231;113;277
202001;Enexis;Noord-Brabant;Heeze-Leende;;;256;61;375
202001;Enexis;Noord-Brabant;Helmond;;;688;189;955
202001;Enexis;Noord-Brabant;Heusden;;;2.872;425;2.019
202001;Enexis;Noord-Brabant;Hilvarenbeek;;;71;21;81
202001;Enexis;Noord-Brabant;Laarbeek;;;277;42;280
202001;Enexis;Noord-Brabant;Landerd;;;251;126;332
202001;Enexis;Noord-Brabant;Loon op Zand;;;601;41;241
202001;Enexis;Noord-Brabant;Meierijstad;Centrum;;2.187;188;674
202001;Enexis;Noord-Brabant;Meierijstad;Vogelenzang;;350;82;304
202001;Enexis;Noord-Brabant;Meierijstad;West;;1.386;513;1.375
202001;Enexis;Noord-Brabant;Meierijstad;;;1.121;379;1.814
202001;Enexis;Noord-Brabant;Mill en Sint Hubert;;;138;10;72
202001;Enexis;Noord-Brabant;Moerdijk;;;685;87;549
202001;Enexis;Noord-Brabant;Nuenen, Gerwen en Nederwetten;;;150;101;398
202001;Enexis;Noord-Brabant;Oirschot;;;116;44;190
202001;Enexis;Noord-Brabant;Oisterwijk;;;236;65;271
202001;Enexis;Noord-Brabant;Oosterhout;;;1.171;330;1.418
202001;Enexis;Noord-Brabant;Oss;;;2.720;531;2.711
202001;Enexis;Noord-Brabant;Reusel-De Mierden;;;93;34;115
202001;Enexis;Noord-Brabant;Roosendaal;;;299;24;277
202001;Enexis;Noord-Brabant;Rucphen;;;228;89;266
202001;Enexis;Noord-Brabant;'s-Hertogenbosch;t Ven;;908;98;469
202001;Enexis;Noord-Brabant;'s-Hertogenbosch;;;8.962;741;3.168
202001;Enexis;Noord-Brabant;Sint Anthonis;;;45;12;76
202001;Enexis;Noord-Brabant;Sint-Michielsgestel;;;618;172;347
202001;Enexis;Noord-Brabant;Someren;;;120;14;159
202001;Enexis;Noord-Brabant;Son en Breugel;t Zand;;448;112;596
202001;Enexis;Noord-Brabant;Son en Breugel;;;342;23;141
202001;Enexis;Noord-Brabant;Steenbergen;;;291;114;505
202001;Enexis;Noord-Brabant;Tilburg;Buitengebied Noordoost;;136;17;201
202001;Enexis;Noord-Brabant;Tilburg;Buitengebied Zuidwest;;143;19;425
202001;Enexis;Noord-Brabant;Tilburg;Centrum;;3.900;59;294
202001;Enexis;Noord-Brabant;Tilburg;Dalem;;2.680;267;1.081
202001;Enexis;Noord-Brabant;Tilburg;De Reit;;2.860;110;517
202001;Enexis;Noord-Brabant;Tilburg;Groenewoud;;3.469;271;1.158
202001;Enexis;Noord-Brabant;Tilburg;Het Zand;;5.737;173;634
202001;Enexis;Noord-Brabant;Tilburg;Jeruzalem;;663;219;444
202001;Enexis;Noord-Brabant;Tilburg;Zorgvlied;;1.791;220;575
202001;Enexis;Noord-Brabant;Tilburg;;;2.539;778;2.302
202001;Enexis;Noord-Brabant;Uden;;;339;203;667
202001;Enexis;Noord-Brabant;Valkenswaard;;;316;91;524
